	,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.6875,0.0625,0.0,0.0,0.1875,0.0,0.0625
Disgust,0.136363636364,0.386363636364,0.227272727273,0.0,0.0454545454545,0.0681818181818,0.0681818181818
Fear,0.0,0.0,0.583333333333,0.0,0.0,0.0,0.333333333333
Happy,0.0,0.0512820512821,0.153846153846,0.692307692308,0.025641025641,0.0,0.025641025641
Neutral,0.0,0.0,0.0,0.0,0.611111111111,0.0555555555556,0.111111111111
Sad,0.0,0.0,0.130434782609,0.0,0.0434782608696,0.695652173913,0.0434782608696
Surprise,0.0,0.0,0.172413793103,0.103448275862,0.0,0.0344827586207,0.551724137931
global accuracy: ,0.601141726423,,,,,,
