	,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.5625,0.1875,0.0,0.0,0.1875,0.0,0.0625
Disgust,0.0909090909091,0.386363636364,0.295454545455,0.0,0.0454545454545,0.0681818181818,0.0454545454545
Fear,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.25
Happy,0.025641025641,0.0512820512821,0.102564102564,0.717948717949,0.0,0.0,0.0512820512821
Neutral,0.0,0.0,0.0,0.0555555555556,0.555555555556,0.0555555555556,0.111111111111
Sad,0.0,0.0434782608696,0.0869565217391,0.0,0.0434782608696,0.695652173913,0.0434782608696
Surprise,0.0,0.0,0.241379310345,0.103448275862,0.0,0.0344827586207,0.48275862069
global accuracy: ,0.581063624448,,,,,,
