	,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.375,0.1875,0.0,0.0,0.25,0.125,0.0625
Disgust,0.113636363636,0.409090909091,0.227272727273,0.0227272727273,0.0,0.0909090909091,0.0681818181818
Fear,0.0,0.0,0.583333333333,0.0,0.0,0.0,0.333333333333
Happy,0.0,0.0769230769231,0.0512820512821,0.717948717949,0.025641025641,0.025641025641,0.0512820512821
Neutral,0.0,0.0,0.0555555555556,0.0555555555556,0.555555555556,0.0,0.111111111111
Sad,0.0434782608696,0.0,0.130434782609,0.0,0.0869565217391,0.652173913043,0.0
Surprise,0.0,0.0,0.241379310345,0.103448275862,0.0,0.0,0.51724137931
global accuracy: ,0.544334829755,,,,,,
