	,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.625,0.1875,0.0,0.0,0.125,0.0,0.0625
Disgust,0.113636363636,0.409090909091,0.227272727273,0.0,0.0227272727273,0.0909090909091,0.0681818181818
Fear,0.0,0.0,0.583333333333,0.0,0.0,0.0,0.333333333333
Happy,0.0,0.102564102564,0.153846153846,0.641025641026,0.025641025641,0.0,0.025641025641
Neutral,0.0,0.0,0.0,0.0555555555556,0.5,0.0555555555556,0.166666666667
Sad,0.0,0.0,0.173913043478,0.0,0.0434782608696,0.652173913043,0.0434782608696
Surprise,0.0,0.0,0.103448275862,0.137931034483,0.0,0.0344827586207,0.586206896552
global accuracy: ,0.570975813292,,,,,,
