	,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.5625,0.1875,0.0,0.0,0.0625,0.125,0.0625
Disgust,0.136363636364,0.409090909091,0.227272727273,0.0,0.0227272727273,0.113636363636,0.0227272727273
Fear,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.25
Happy,0.025641025641,0.025641025641,0.102564102564,0.717948717949,0.0,0.0,0.0769230769231
Neutral,0.0,0.0,0.0,0.0555555555556,0.5,0.0555555555556,0.166666666667
Sad,0.0,0.0434782608696,0.0869565217391,0.0,0.130434782609,0.608695652174,0.0434782608696
Surprise,0.0,0.0,0.137931034483,0.137931034483,0.0,0.0,0.586206896552
global accuracy: ,0.578729834633,,,,,,
