	,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.625,0.1875,0.0,0.0,0.125,0.0,0.0625
Disgust,0.136363636364,0.386363636364,0.25,0.0,0.0454545454545,0.0681818181818,0.0454545454545
Fear,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.25
Happy,0.025641025641,0.0512820512821,0.0769230769231,0.717948717949,0.025641025641,0.0,0.0512820512821
Neutral,0.0,0.0,0.0,0.0555555555556,0.555555555556,0.0555555555556,0.111111111111
Sad,0.0,0.0434782608696,0.0434782608696,0.0,0.173913043478,0.652173913043,0.0
Surprise,0.0,0.0,0.172413793103,0.137931034483,0.0,0.0,0.551724137931
global accuracy: ,0.593633232501,,,,,,
