	,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.6875,0.125,0.0,0.0,0.125,0.0,0.0625
Disgust,0.204545454545,0.409090909091,0.204545454545,0.0,0.0227272727273,0.0227272727273,0.0681818181818
Fear,0.0,0.0,0.5,0.0,0.0,0.0,0.416666666667
Happy,0.0,0.128205128205,0.102564102564,0.666666666667,0.025641025641,0.0,0.025641025641
Neutral,0.0,0.0,0.0,0.0555555555556,0.611111111111,0.0555555555556,0.0555555555556
Sad,0.0,0.0434782608696,0.0869565217391,0.0,0.130434782609,0.608695652174,0.0434782608696
Surprise,0.0,0.0,0.103448275862,0.172413793103,0.0,0.0,0.586206896552
global accuracy: ,0.581324462228,,,,,,
